appendix;page;row_num;plot_num_plan;cadastral_number;storeys;address;area_cadastral_m2;area_preliminary_m2;area_use_right_m2;area_withdrawal_m2;land_category;land_use_type;notes;restrictions;easement_area_m2;compensation_sum
3;46;14;14;90:11:130701:182;Частная;Республика Крым, Сакский район, на территории Лесновского сельского совета, земельный участок № 13;1000.0;1000.0;1000.0;;Земли сельскохозяйственного назначения;Размещение дачных домов и садовых домов;;;;
3;46;15;15;90:11:130701:184;Частная;Республика Крым, р-н Сакский, на терриитории Лесновского сельского совета, индивидуальный участок №8;1000.0;1000.0;1000.0;;Земли сельскохозяйственного назначения;Размещение дачных домов и садовых домов;;;;
3;46;16;16;90:11:130701:19;Частная;Республика Крым, Сакский район, на территории Лесновского сельского совета, индивидуальный участок № 159;1000.0;1000.0;1000.0;;Земли сельскохозяйственного назначения;Размещение дачных домов и садовых домов;;;;
3;46;17;17;90:11:130701:20;Частная;Республика Крым, Сакский район, на территории Лесновского сельского совета, индивидуальный участок 25;1000.0;1000.0;1000.0;;Земли сельскохозяйственного назначения;Размещение дачных домов и садовых домов;;;;
3;46;18;18;90:11:130701:211;Частная;Республика Крым, р-н Сакский, на территории Лесновского сельского совета, индивидуальный участок №143;1000.0;1000.0;1000.0;;Земли сельскохозяйственного назначения;Размещение дачных домов и садовых домов;;;;
3;46;19;19;90:11:130701:232;Частная;Республика Крым, Сакский район,на территории Лесновского сельскго совета, индивидуальный участок № 59;1000.0;1000.0;1000.0;;Земли сельскохозяйственного назначения;Размещение дачных домов и садовых домов;;;;
3;46;20;20;90:11:130701:2440;Частная;Республика Крым, Сакский р-н, Лесновский с/с;625.0;625.0;625.0;;Земли сельскохозяйственного назначения;Ведение личного подсобного хозяйства на полевых участках;;;;
3;46;21;21;90:11:130701:2448;Частная;Республика Крым, Сакский р-н, Лесновский с/с;625.0;625.0;625.0;;Земли сельскохозяйственного назначения;Ведение личного подсобного хозяйства на полевых участках;;;;
3;46;22;22;90:11:130701:2449;Частная;Республика Крым, Сакский р-н, Лесновский с/с;625.0;625.0;625.0;;Земли сельскохозяйственного назначения;Ведение личного подсобного хозяйства на полевых участках;;;;
3;46;23;23;90:11:130701:2450;Частная;Республика Крым, Сакский р-н, Лесновский с/с;625.0;625.0;625.0;;Земли сельскохозяйственного назначения;Ведение личного подсобного хозяйства на полевых участках;;;;
