appendix;page;row_num;plot_num_plan;cadastral_number;address;area_cadastral_m2;storeys;land_category;land_use_type;notes
2;42;105;108;90:11:130701:1303;Российская Федерация, Республика Крым, Сакский муниципальный район, Лесновское сельское поселение, село Прибрежное, улица Дачная, земельный участок 88;1000.0;Частная;Земли сельскохозяйственного назначения;Ведение садоводства;Существующий земельный участок частично расположен в границах зоны размещения объекта.
2;42;106;111;90:11:130701:132;Республика Крым, Сакский район, Лесновский сельский совет, за границами населенного пункта, земельный участок № 14;10000.0;Частная;Земли сельскохозяйственного назначения;Ведения личного подсобного хозяйства на полевых участках;Существующий земельный участок частично расположен в границах зоны размещения объекта.
2;42;107;112;90:11:130701:1330;Республика Крым, Сакский р-н, Лесновский с/с, уч 49;1000.0;Частная;Земли сельскохозяйственного назначения;Ведения дачного хозяйства;Существующий земельный участок частично расположен в границах зоны размещения объекта.
2;42;108;113;90:11:130701:134;Республика Крым, р-н Сакский, с/с Лесновский;897.0;Частная;Земли сельскохозяйственного назначения;Размещение дачных домов и садовых домов;Существующий земельный участок частично расположен в границах зоны размещения объекта.
2;42;109;115;90:11:130701:147;Российская Федерация, Республика Крым,Сакский муниципальный район, Лесновское сельское поселение, село Прибрежное, улица Дачная, земельный участок 102;1000.0;Частная;Земли сельскохозяйственного назначения;Ведение садоводства;Существующий земельный участок частично расположен в границах зоны размещения объекта.
2;42;110;118;90:11:130701:172;Российская Федерация, Республика Крым, Сакский муниципальный район, Лесновское сельское поселение, с. Прибрежное, улица Дачная, земельный участок 100;1000.0;Частная;Земли сельскохозяйственного назначения;Ведение садоводства;Существующий земельный участок частично расположен в границах зоны размещения объекта.
2;42;111;120;90:11:130701:177;Республика Крым, Сакский район, на территории Лесновского сельского совета, индивидуальный участок №18;1000.0;Частная;Земли сельскохозяйственного назначения;Размещение дачных домов и садовых домов;Существующий земельный участок частично расположен в границах зоны размещения объекта.
2;43;112;122;90:11:130701:1898;Республика Крым, р-н Сакский, Лесновский сельский совет, за границами населенных пунктов;1000.0;Частная;Земли сельскохозяйственного назначения;Сельскохозяйственное использование;Существующий земельный участок частично расположен в границах зоны размещения объекта.
2;43;113;124;90:11:130701:1900;Республика Крым, р-н Сакский, Лесновский сельский совет, за границами населенных пунктов;1000.0;Частная;Земли сельскохозяйственного назначения;Сельскохозяйственное использование;Существующий земельный участок частично расположен в границах зоны размещения объекта.
2;43;114;125;90:11:130701:1901;Республика Крым, р-н Сакский, Лесновский сельский совет, за границами населенных пунктов;1000.0;Частная;Земли сельскохозяйственного назначения;Сельскохозяйственное использование;Существующий земельный участок частично расположен в границах зоны размещения объекта.
2;43;115;126;90:11:130701:1902;Республика Крым, р-н Сакский, Лесновский сельский совет, за границами населенных пунктов;1000.0;Частная;Земли сельскохозяйственного назначения;Сельскохозяйственное использование;Существующий земельный участок частично расположен в границах зоны размещения объекта.
2;43;116;127;90:11:130701:1903;Республика Крым, р-н Сакский, Лесновский сельский совет, за границами населенных пунктов;1000.0;Частная;Земли сельскохозяйственного назначения;Сельскохозяйственное использование;Существующий земельный участок частично расположен в границах зоны размещения объекта.
2;43;117;158;90:11:130701:2666;Республика Крым, Сакский р-н, Лесновский с/с, уч 6, за пределами населенного пункта;736.0;Частная;Земли сельскохозяйственного назначения;Ведение личного подсобного хозяйства на полевых участках;Существующий земельный участок частично расположен в границах зоны размещения объекта.
2;43;118;159;90:11:130701:2667;Республика Крым, Сакский р-н, Лесновский с/с, уч 6, за пределами населенного пункта;760.0;Частная;Земли сельскохозяйственного назначения;Ведение личного подсобного хозяйства на полевых участках;Существующий земельный участок частично расположен в границах зоны размещения объекта.
2;43;119;163;90:11:130701:286;Российская Федерация, Республика Крым, Сакский муниципальный район, Лесновское сельское поселение, с. Прибрежное, ул. Дачная, земельный участок №165;1000.0;Частная;Земли сельскохозяйственного назначения;Размещение дачных домов и садовых домов;Существующий земельный участок частично расположен в границах зоны размещения объекта.
